,X,PLAYER,Play_Yrs,Games,Year,Pick,CLASS,CONF,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,FT_PERC,X2P_PERC,X3PR,X3P_PERC,HEIGHT_IN,BPM
52,20,James Anderson,5,247,2010,20,Jr,B12,117.5,30.7,53.2,59.6,6.7,12.9,16.5,13.1,2,2.4,52.2,0.81,0.549,43.9,0.341,78,-1.85
53,21,Elliot Williams,4,109,2010,22,So,CUSA,112.8,27.7,53.6,59.9,2.7,11.3,24,18.8,0.4,2.4,66,0.758,0.527,42.3,0.366,77,-2.85
54,22,Trevor Booker,8,532,2010,23,Sr,ACC,112,24.7,53.3,55,10.1,20.4,17.4,14.4,4.6,2.5,47.4,0.591,0.547,9.4,0.265,79,-0.7
55,23,Damion James,4,39,2010,24,Sr,B12,115.6,25.5,54.4,57.8,11,23.9,6.1,14.1,3.6,3,54.9,0.674,0.535,22.4,0.383,79,0.175
56,24,Quincy Pondexter,7,308,2010,26,Sr,P12,123,25.2,54.7,60.8,10.3,15,11.2,12.8,1.8,2.2,48.7,0.827,0.55,11,0.353,78,-1.6
57,25,Jordan Crawford,6,281,2010,27,So,A10,113,28.9,53.2,56.4,3.4,12,20.1,14.7,0.6,2.4,27.4,0.773,0.501,35.9,0.391,76,-1.75
58,26,Greivis Vasquez,7,401,2010,28,Sr,ACC,111.7,30.7,49.7,55,3.9,10.3,35.3,18.2,1,2.9,31.8,0.857,0.472,36.8,0.36,78,-1.275
59,27,Dexter Pittman,4,50,2010,32,Sr,B12,113.1,24.4,65.4,63.8,16.6,15.3,5.1,20.4,8.9,1,63.1,0.556,0.654,0,0,82,-16.75
60,28,Hassan Whiteside,7,279,2010,33,Fr,CUSA,101.7,24.9,51,53.5,12,24,1.8,16.4,18.3,1.2,58.8,0.594,0.504,1.7,0.6,85,-14.75
61,30,Landry Fields,5,255,2010,39,Sr,P12,110.3,31,51.9,56,7.9,20.6,19.6,13.6,2.3,2.6,50.8,0.696,0.521,17,0.337,79,-0.75
62,31,Lance Stephenson,9,450,2010,40,Fr,BE,99.3,26,46.2,49.4,7.3,14,19.1,19.5,0.7,1.9,32.3,0.664,0.495,19.8,0.219,77,-2.4
63,32,Jeremy Evans,7,250,2010,55,Sr,SB,129.2,17.3,65.6,66.8,13.5,17.8,5.9,14,7.2,1.9,44.1,0.688,0.673,5.7,0.25,81,2.1
64,1,Kyrie Irving,8,450,2011,1,Fr,ACC,130.5,27.2,61.5,69.7,2.3,10.6,29.8,18.6,1.8,3,68.3,0.901,0.569,37.5,0.462,74,3.825
65,2,Derrick Williams,7,428,2011,2,So,P12,123.1,28.7,65,69,11.8,21.9,8.7,18.2,2.3,1.9,87.1,0.746,0.601,19.5,0.568,80,-1.925
66,4,Tristan Thompson,8,528,2011,4,Fr,B12,107.4,23.1,54.6,53.6,13.9,13.6,8,14.5,7.2,1.8,82.9,0.487,0.546,0,0,80,-2.45
67,7,Brandon Knight,6,382,2011,8,Fr,SEC,107.8,26.7,50.8,55.3,2.2,10.2,23.4,19.8,0.6,1.1,33.3,0.795,0.461,45,0.377,75,-1.075
68,8,Kemba Walker,8,533,2011,9,Jr,BE,117.8,31.5,47.8,54.3,3.9,11.5,28,11.8,0.5,3.1,42.6,0.819,0.471,30.7,0.33,73,1.15
69,9,Jimmer Fredette,5,235,2011,10,Sr,MWC,114.7,36.6,53.1,59.2,2,8.5,28.6,15.3,0.1,2.1,36.9,0.893,0.491,40.6,0.393,74,-2.2
70,10,Klay Thompson,8,547,2011,11,Jr,P12,107.6,31.9,52.5,57.4,2.6,14,25,17.8,3.1,2.8,33.6,0.838,0.466,44.6,0.398,78,0.875
71,11,Alec Burks,8,370,2011,12,So,B12,116.2,32.1,49.8,57.7,9.1,14.7,19.8,15,1,2,57.8,0.822,0.511,18.4,0.295,78,-1.775
72,12,Markieff Morris,8,529,2011,13,Jr,B12,118,25.2,62.7,64.2,13.9,24.7,11,19,4.9,1.9,46.2,0.673,0.625,17.8,0.424,82,-0.825
73,13,Marcus Morris,8,479,2011,14,Jr,B12,122.3,25.9,60.1,62.5,11.5,19,11.4,13.7,2.4,1.7,51.1,0.688,0.62,18.1,0.342,81,-2.675
74,14,Kawhi Leonard,8,414,2011,15,So,MWC,108.7,27.7,46.3,50.8,11.4,25.9,16.4,15.1,1.9,2.8,32.1,0.759,0.472,17.9,0.284,78,4.375
75,15,Nikola Vucevic,8,465,2011,16,Jr,P12,115.9,25.1,53.9,57.8,9.8,25.6,11,12.1,4.4,0.9,38.3,0.755,0.542,19.5,0.349,82,-0.425
76,16,Iman Shumpert,8,392,2011,17,Jr,ACC,107.1,28.7,45.4,51.7,5.8,16.4,25.7,14.6,0.7,5,40.1,0.806,0.474,34.6,0.278,77,-1.1
77,17,Tobias Harris,8,473,2011,19,Fr,SEC,109.5,25.9,48.9,54,7.5,20.6,10.4,14.3,3.4,1.4,42.3,0.753,0.497,18.9,0.303,80,-0.65
78,19,Kenneth Faried,8,445,2011,22,Sr,OVC,115.1,25.7,61,61,19.9,30.9,7.3,18.2,8.1,3.4,68.9,0.579,0.61,0,0,80,1.05
79,21,Reggie Jackson,8,456,2011,24,Jr,ACC,120.5,27.2,58.5,61.8,3.9,11.3,29.7,16,1.7,1.9,31.5,0.796,0.556,38.9,0.42,75,-0.575
80,23,Jordan Hamilton,5,151,2011,26,So,B12,113.6,27.1,52.2,55,7,18.5,14.6,14.3,1.8,1.6,22.1,0.779,0.481,42.4,0.385,79,-0.175
81,24,Norris Cole,6,360,2011,28,Sr,Horz,112.9,32.8,47,54.8,2.5,16.7,38,14.3,0.3,3.7,47.2,0.853,0.464,25.9,0.324,74,-4.275
82,25,Cory Joseph,8,456,2011,29,Fr,B12,110.9,16.8,50.3,52.6,2.2,9.5,17.3,16.1,0.9,1.9,22.7,0.699,0.429,39.1,0.413,75,-0.775
83,26,Jimmy Butler,8,465,2011,30,Sr,BE,122,21.2,51.6,58.7,8.2,12,13.2,11.6,1.1,2.4,62.8,0.783,0.515,15.2,0.345,78,1.6
84,28,Kyle Singler,6,356,2011,33,Sr,ACC,112.3,23.5,49.1,53.6,8,13.3,8.8,13.2,0.8,1.5,30.5,0.806,0.497,37.9,0.321,80,-2.16666666666667
85,29,Shelvin Mack,8,407,2011,34,Jr,Horz,107.1,27.9,49,53.3,2.7,14.3,25.1,16.9,0.3,1.4,32.6,0.769,0.451,50.5,0.351,75,-2.025
86,30,Chandler Parsons,8,413,2011,38,Sr,SEC,110.3,20.1,54.6,55.1,7.3,19.3,21.6,20.3,1.3,1.7,30,0.557,0.544,36.2,0.368,82,1.525
87,31,Jon Leuer,8,338,2011,40,Sr,B10,116.8,29.4,52.6,56.8,6.5,22.6,12.8,11.3,3.1,1,27.7,0.843,0.513,30.2,0.37,82,-1.525
88,32,Darius Morris,4,132,2011,41,So,B10,108.5,29.5,50.6,54.4,3.3,10.9,43.9,18.7,0.1,1.9,37.4,0.716,0.531,15.4,0.246,76,-5.725
89,33,Lavoy Allen,6,388,2011,50,Sr,A10,107.7,20.1,48.8,51.9,9.3,20.2,13.6,14.7,5.4,1.3,30.8,0.697,0.49,5.3,0.294,81,-2.125
